product_id,sku,price
2831,W0052.B3.DIW.02,9466.08
2832,W0053.B3.DIW.01,1894.20
2834,W0055.B3.DIW.01,2044.88
2839,W0061.B3.DIW.01,2864.67
2840,W0062.B3.DIW.01,2676.48
2841,W0064.B3.DIW.01,2023.35
2843,W0070.B3.DIW.01,2781.03
2844,W0071.B3.DIW.01,2781.03
2845,W0072.B3.DIW.01,3199.23
2848,W0083.B3.DIW.01,2801.94
2850,W0088.B3.DIW.01,1872.67
2851,W0088.B3.DIW.03,2258.28
2852,W0088.B3.DIW.04,2509.20
2853,W0088.B3.DIW.05,2613.75
2855,W0090.B3.DIW.01,1980.30
2856,W0091.B3.DIW.01,1980.30
2858,W0096.B3.DIW.01,1937.25
2859,W0100.B3.DIW.01,1549.80
2863,W0111.B3.DIW.01,1765.05
2864,W0111.B3.DIW.04,2404.65
2865,W0111.B3.DIW.06,3136.50
2866,W0111.B3.DIW.07,1722.00
2867,W0114.B3.DIW.01,1614.38
2868,W0116.B3.DIW.01,1786.58
2869,W0118.B3.DIW.01,1915.73
2879,W0133.B3.DIW.01,2781.03
2880,W0134.B3.DIW.01,2509.20
